Issue Type,Summary,Description,Priority,Story Points,Sprint,Custom Field (RF/RN)
Story,[HU-01] Inicio de sesión en el sistema,"*Historia de Usuario:*
Como usuario registrado (Administrador, Abogado, Colaborador o Cliente), quiero iniciar sesión con mi correo electrónico o nombre de usuario y contraseña, para acceder a las funcionalidades del sistema según mi rol.

*Criterios de Aceptación:*
* El formulario de login acepta correo electrónico o nombre de usuario junto con contraseña.
* Si las credenciales son correctas, el sistema redirige al usuario al módulo correspondiente según su rol.
* Si las credenciales son incorrectas, el sistema muestra un mensaje de error genérico sin revelar cuál campo es incorrecto.
* Después de 5 intentos fallidos consecutivos, la cuenta se bloquea temporalmente y se notifica al usuario.
* El usuario puede recuperar el acceso mediante correo de recuperación o con ayuda del Administrador.
* La contraseña debe tener mínimo 8 caracteres, al menos una mayúscula, un número y un carácter especial.
* La sesión inactiva se cierra automáticamente tras 30 minutos sin actividad.
* El token JWT tiene vigencia máxima de 8 horas y es renovable mediante reautenticación.

*Requerimientos Asociados:*
RF01 | RNF01 | RNF02",Alta,5,Sprint 1: Registro de clientes y creación de expedientes,RF01 | RNF01 | RNF02
Story,[HU-02] Gestión de roles y permisos por módulo,"*Historia de Usuario:*
Como Administrador, quiero asignar y modificar roles y permisos granulares (leer / crear / editar / eliminar) a cada usuario por módulo, para garantizar que cada persona acceda únicamente a la información y acciones que le corresponden.

*Criterios de Aceptación:*
* El sistema maneja 4 roles: Administrador, Abogado, Colaborador y Cliente.
* El Administrador puede asignar permisos de lectura, creación, edición y eliminación sobre los módulos: Procesos, Documentos, Clientes, Audiencias, Términos, Reportes y Portal del cliente.
* Un Abogado solo visualiza los procesos que le fueron asignados, a menos que el Administrador le otorgue permisos adicionales.
* Un Colaborador solo accede a las tareas que le han sido asignadas.
* Un Cliente solo accede a su propio portal.
* Al modificar permisos, el sistema registra en la bitácora: usuario que hizo el cambio, fecha/hora, IP y detalle de la modificación.
* El sistema impide que el Administrador se quite a sí mismo el rol de Administrador si es el único con ese rol.

*Requerimientos Asociados:*
RF02 | RF03 | RF04 | RF05 | RN02",Alta,8,Sprint 1: Registro de clientes y creación de expedientes,RF02 | RF03 | RF04 | RF05 | RN02
Story,[HU-03] Registro de acciones en bitácora de auditoría,"*Historia de Usuario:*
Como sistema (proceso automatizado), quiero registrar automáticamente cada acción relevante con usuario, fecha/hora UTC, IP, módulo y descripción, para garantizar trazabilidad completa e inmutable de todas las operaciones críticas.

*Criterios de Aceptación:*
* El sistema registra automáticamente: inicio/cierre de sesión, creación/edición/eliminación de procesos, documentos y clientes, cambio de estado de proceso, asignación de permisos y descarga de documentos.
* Cada registro incluye: usuario, fecha y hora exacta en UTC, dirección IP, módulo afectado y descripción de la acción.
* La bitácora es de solo lectura para todos los roles, incluido el Administrador.
* Ningún usuario ni proceso automatizado puede editar o eliminar registros de auditoría (invariante absoluta).
* Los registros se conservan por mínimo 5 años desde su creación.
* El Administrador puede exportar la bitácora en CSV o PDF, con filtros por usuario, módulo y rango de fechas.

*Requerimientos Asociados:*
RF05 | RNF03 | RN01",Alta,5,Sprint 1: Registro de clientes y creación de expedientes,RF05 | RNF03 | RN01
Story,[HU-04] Registrar cliente persona natural,"*Historia de Usuario:*
Como Abogado o Administrador, quiero registrar un cliente persona natural con sus datos personales obligatorios y opcionales, para tener su información centralizada y poder asociarlo a procesos jurídicos.

*Criterios de Aceptación:*
* El formulario solicita campos obligatorios: nombre completo, tipo de documento, número de documento, teléfono y correo electrónico.
* Los campos opcionales incluyen: fecha de nacimiento y dirección.
* El sistema valida que el número de documento no esté duplicado.
* Al guardar, el sistema crea la ficha del cliente y la deja disponible para asociarla a procesos.
* El sistema muestra mensaje de error descriptivo si se omite un campo obligatorio.
* La creación del cliente queda registrada en la bitácora de auditoría.

*Requerimientos Asociados:*
RF06 | RF05",Alta,3,Sprint 1: Registro de clientes y creación de expedientes,RF06 | RF05
Story,[HU-05] Registrar cliente persona jurídica,"*Historia de Usuario:*
Como Abogado o Administrador, quiero registrar un cliente persona jurídica con sus datos corporativos, para gestionar entidades empresariales como clientes dentro del sistema.

*Criterios de Aceptación:*
* El formulario solicita campos obligatorios: razón social, NIT, representante legal, teléfono y correo electrónico.
* Los campos opcionales incluyen: dirección y datos adicionales del representante.
* El sistema valida que el NIT no esté duplicado.
* Al seleccionar tipo de cliente, el formulario cambia dinámicamente entre persona natural y persona jurídica.
* La creación queda registrada en la bitácora de auditoría.

*Requerimientos Asociados:*
RF06 | RF05",Alta,3,Sprint 1: Registro de clientes y creación de expedientes,RF06 | RF05
Story,[HU-06] Consultar y gestionar ficha del cliente,"*Historia de Usuario:*
Como Abogado o Administrador, quiero consultar la ficha de un cliente y ver todos sus procesos asociados desde un solo lugar, para tener una visión completa del historial jurídico del cliente sin navegar por múltiples módulos.

*Criterios de Aceptación:*
* La ficha del cliente muestra todos sus datos registrados (persona natural o jurídica).
* La ficha incluye una sección con la lista de todos los procesos jurídicos asociados a ese cliente.
* Desde la lista de procesos en la ficha, el abogado puede acceder directamente a cada expediente con un clic.
* El Abogado puede editar los datos del cliente; la modificación queda registrada en bitácora.
* No es posible eliminar definitivamente un cliente que tenga procesos activos asociados.

*Requerimientos Asociados:*
RF07 | RF08 | RNF06 | RNF10",Alta,3,Sprint 1: Registro de clientes y creación de expedientes,RF07 | RF08 | RNF06 | RNF10
Story,[HU-07] Crear expediente jurídico digital,"*Historia de Usuario:*
Como Abogado o Administrador, quiero crear un expediente jurídico digital asociado a un número de radicado único, para centralizar toda la información del caso en un solo lugar digital.

*Criterios de Aceptación:*
* El formulario de creación solicita campos obligatorios: número de radicado, tipo de proceso, estado procesal y abogado responsable.
* Los campos opcionales incluyen: juzgado, clase de proceso, área del derecho y fecha de radicación.
* El sistema valida que no exista otro proceso con el mismo número de radicado; si hay duplicado, muestra error descriptivo.
* Al guardar, el expediente queda creado con estado inicial 'Activo'.
* El sistema asocia automáticamente el expediente al cliente seleccionado.
* La creación queda registrada en bitácora con usuario, fecha/hora e IP.

*Requerimientos Asociados:*
RF09 | RF10 | RF11 | RF05",Alta,8,Sprint 1: Registro de clientes y creación de expedientes,RF09 | RF10 | RF11 | RF05
Story,[HU-32] Habilitar y configurar autenticación de doble factor (2FA),"*Historia de Usuario:*
Como usuario registrado, quiero habilitar y configurar la autenticación de doble factor (2FA) en mi cuenta, para añadir una capa adicional de seguridad al iniciar sesión en la plataforma.

*Criterios de Aceptación:*
* El usuario puede activar o desactivar la autenticación de doble factor (2FA) desde su perfil.
* Al iniciar sesión con 2FA activo, el sistema solicita un código de verificación de un solo uso después del login básico.
* El código de verificación se envía por correo electrónico (o canal configurado) y tiene una validez estricta de 5 minutos.
* Si el código ingresado es incorrecto o expira, el sistema muestra un mensaje descriptivo y bloquea el acceso.
* El sistema registra en la bitácora de auditoría la habilitación, deshabilitación y uso de 2FA.

*Requerimientos Asociados:*
RNF02",Alta,5,Sprint 1: Registro de clientes y creación de expedientes,RNF02
Story,[HU-33] Modificar información general del expediente,"*Historia de Usuario:*
Como Abogado responsable o Administrador, quiero editar los datos generales de un expediente (juzgado, clase de proceso, área del derecho, fecha de radicación), para corregir errores de digitación o registrar actualizaciones del proceso.

*Criterios de Aceptación:*
* El usuario con permisos de edición puede modificar: juzgado, clase de proceso, área del derecho y fecha de radicación.
* No se puede modificar el número de radicado original para evitar duplicidades o inconsistencias en auditoría.
* Cada modificación queda registrada en el historial del proceso y en la bitácora de auditoría, indicando el usuario, fecha/hora, IP y los campos modificados.

*Requerimientos Asociados:*
RF11 | RF05",Alta,3,Sprint 1: Registro de clientes y creación de expedientes,RF11 | RF05
Story,[HU-08] Asignar múltiples abogados y colaboradores a un proceso,"*Historia de Usuario:*
Como Administrador o Abogado responsable, quiero asignar o desasignar abogados y colaboradores adicionales a un proceso, para permitir el trabajo colaborativo en casos complejos que requieren más de un profesional.

*Criterios de Aceptación:*
* El sistema permite asignar uno o más abogados y/o colaboradores a un mismo proceso.
* El proceso siempre debe tener al menos un abogado responsable asignado.
* El sistema impide eliminar al único abogado responsable de un proceso activo sin designar simultáneamente a otro.
* Los colaboradores asignados reciben notificaciones de audiencias y términos del proceso.
* El cambio de asignación queda registrado en el historial del proceso y en bitácora.

*Requerimientos Asociados:*
RF12 | RN04",Alta,5,Sprint 2: Documentación y actuaciones procesales,RF12 | RN04
